id,track_name,artists_name,artist_count,released_year,released_month,released_day
411,INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23
412,MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10
413,Atlantis,Seafret,1,2015,4,22
414,PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22
415,Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9
416,How Do I Say Goodbye,Dean Lewis,1,2022,8,5
417,Blind,SZA,1,2022,12,9
418,Die For You,Joji,1,2022,11,4
419,Doja,Central Cee,1,2022,7,20
420,Gatita,Bellakath,1,2022,10,3
421,Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17
422,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2
423,Yonaguni,Bad Bunny,1,2021,6,4
424,Super Freaky Girl,Nicki Minaj,1,2022,8,12
425,Running Up That Hill (A Deal With God),Kate Bush,1,1985,9,16
426,Dream On,Aerosmith,1,1973,1,5
427,Limbo,Freddie Dredd,1,2022,8,11
428,Where Are You Now,"Lost Frequencies, Calum Scott",2,2021,7,30
429,WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28
430,Bad Habits,Ed Sheeran,1,2020,9,3
431,KICK BACK,Kenshi Yonezu,1,2022,10,12
432,Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A,Omar Apollo,1,2022,4,8
433,Good Days,SZA,1,2020,12,24
434,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27
435,Woman,Doja Cat,1,2021,6,25
436,Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14
437,Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14
438,"You're On Your Own, Kid",Taylor Swift,1,2022,10,21
439,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17
440,Agudo Mï¿½ï¿½gi,"Styrx, utku INC, Thezth",3,1930,1,1
441,Payphone,"Maroon 5, Wiz Khalifa",2,2012,1,1
442,All I Want for Christmas Is You,Mariah Carey,1,1994,10,28
443,Last Christmas,Wham!,1,1984,1,1
444,Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1
445,Jingle Bell Rock,Bobby Helms,1,1957,1,1
446,It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14
447,Santa Tell Me,Ariana Grande,1,2013,12,13
448,It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14
449,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16
450,Snowman,Sia,1,2017,1,1
451,Underneath the Tree,Kelly Clarkson,1,2013,10,25
452,Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,1
453,Holly Jolly Christmas,Michael Bublï¿,1,2011,10,14
454,Mistletoe,Justin Bieber,1,2011,1,1
455,Sleigh Ride,The Ronettes,1,1963,11,22
456,Seek & Destroy,SZA,1,2022,12,9
457,Love Language,SZA,1,2022,12,9
458,Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1
459,Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8
460,A Holly Jolly Christmas - Single Version,Burl Ives,1,1952,1,1
461,The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1
462,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16
463,Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25
464,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9
465,Special,SZA,1,2022,12,9
466,Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1
467,Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1
468,SOS,SZA,1,2022,12,9
469,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8
470,White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1
471,Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1
472,Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22
473,Gone Girl,SZA,1,2022,12,9
474,F2F,SZA,1,2022,12,9
475,Notice Me,SZA,1,2022,12,9
476,Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10
477,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1
478,My Only Wish (This Year),Britney Spears,1,2000,11,7
479,Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4
480,Wild Flower (with youjeen),RM,1,2022,12,2
481,I Hate U,SZA,1,2021,12,3
482,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2
483,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31
484,Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1
485,Smoking on my Ex Pack,SZA,1,2022,12,9
486,Conceited,SZA,1,2022,12,9
487,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21
488,Maroon,Taylor Swift,1,2022,10,21
489,Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28
490,Bejeweled,Taylor Swift,1,2022,10,21
491,Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6
492,You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20
493,Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25
494,Too Late,SZA,1,2022,12,8
495,Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6
496,Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1
497,Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1
498,Far,SZA,1,2022,12,9
499,On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2
500,GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25
501,ýýýabcdefu,Gayle,1,2021,8,13
502,Sacrifice,The Weeknd,1,2022,1,7
503,Is There Someone Else?,The Weeknd,1,2022,1,7
504,Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5
505,Out of Time,The Weeknd,1,2022,1,7
506,Do It To It,"Cherish, ACRAZE",2,2021,8,20
507,We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19
508,Pepas,Farruko,1,2021,6,24
509,How Do I Make You Love Me?,The Weeknd,1,2022,1,7
510,Gasoline,The Weeknd,1,2022,1,7
511,Infinity,Jaymes Young,1,2017,6,23
512,Less Than Zero,The Weeknd,1,2022,1,7
513,Take My Breath,The Weeknd,1,2021,8,6
514,good 4 u,Olivia Rodrigo,1,2021,5,14
515,"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7
516,Best Friends,The Weeknd,1,2022,1,7
517,Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9
518,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7
519,Need To Know,Doja Cat,1,2021,6,11
520,MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18
521,love nwantiti (ah ah ah),Ckay,1,2019,7,26
522,Dawn FM,The Weeknd,1,2022,1,7
523,Surface Pressure,Jessica Darrow,1,2021,11,19
524,Starry Eyes,The Weeknd,1,2022,1,7
525,THATS WHAT I WANT,Lil Nas X,1,2021,9,17
526,One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5
527,Beggin,Mï¿½ï¿½ne,1,2017,12,8
528,Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21
529,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5
530,MONEY,Lisa,1,2021,9,10
531,The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4
532,Happier Than Ever,Billie Eilish,1,2021,7,30
533,Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22
534,traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21
535,Toxic,BoyWithUke,1,2021,9,10
536,drivers license,Olivia Rodrigo,1,2021,1,8
537,Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30
538,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12
539,Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7
540,Oh My God,Adele,1,2021,11,19
541,Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5
542,A Tale By Quincy,The Weeknd,1,2022,1,7
543,I AM WOMAN,Emmy Meli,1,2021,11,18
544,Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27
545,It'll Be Okay,Shawn Mendes,1,2021,12,1
546,Softcore,The Neighbourhood,1,2018,3,9
547,Super Gremlin,Kodak Black,1,2021,10,30
548,Volvï¿,"Aventura, Bad Bunny",2,2021,8,3
549,Todo De Ti,Rauw Alejandro,1,2020,11,2
550,Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30
551,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5
552,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13
553,Every Angel is Terrifying,The Weeknd,1,2022,1,7
554,Tacones Rojos,Sebastian Yatra,1,2021,10,22
555,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19
556,Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30
557,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29
558,Lï¿½ï¿½ï¿,Stromae,1,2022,1,9
559,Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8
560,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24
561,Life Goes On,Oliver Tree,1,2020,7,17
562,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16
563,Butter,BTS,1,2021,5,21
564,pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7
565,You Right,"Doja Cat, The Weeknd",2,2021,6,24
566,deja vu,Olivia Rodrigo,1,2021,4,1
567,Dynamite,BTS,1,2020,8,21
568,TO THE MOON,Jnr Choi,1,2021,11,5
569,Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11
570,Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21
571,Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8
572,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5
573,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3
574,Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1
575,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1
576,LA FAMA (with The Weeknd),"The Weeknd, ROSALï¿½",2,2021,11,11
577,The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19
578,Phantom Regret by Jim,The Weeknd,1,2022,1,7
579,Dos Oruguitas,Sebastian Yatra,1,2021,11,19
580,Freaks,Surf Curse,1,2015,5,10
581,Acapulco,Jason Derulo,1,2021,9,1
582,Daddy Issues,The Neighbourhood,1,2015,10,30
583,thought i was playing,"21 Savage, Gunna",2,2022,1,7
584,ELEVEN,IVE,1,2021,12,1
585,Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,2020,7,24
586,What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19
587,DANCE CRIP,Trueno,1,2021,11,17
588,Miserable Man,David Kushner,1,2022,1,7
589,happier,Olivia Rodrigo,1,2021,5,21
590,Praise God,Kanye West,1,2021,8,29
591,Get Into It (Yuh),Doja Cat,1,2021,6,25
592,Before You Go,Lewis Capaldi,1,2019,11,1
593,Sky,Playboi Carti,1,2020,12,25
594,Rolling in the Deep,Adele,1,2010,11,29
595,Sobrio,Maluma,1,2021,7,8
596,Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23
597,favorite crime,Olivia Rodrigo,1,2021,5,21
598,Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7
599,The Business,Tiï¿½ï¿,1,2020,1,1
600,positions,Ariana Grande,1,2020,10,23
601,I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19
602,Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22
603,The Feels,TWICE,1,2021,10,1
604,HEARTBREAK ANNIVERSARY,Giveon,1,2020,2,21
605,No Lie,"Sean Paul, Dua Lipa",2,2016,11,18
606,OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13
607,Pope Is a Rockstar,SALES,1,2016,4,20
608,2055,Sleepy hallow,1,2021,4,14
609,Bored,Billie Eilish,1,2017,3,30
610,Happier Than Ever - Edit,Billie Eilish,1,2021,7,28
611,Astronaut In The Ocean,Masked Wolf,1,2019,1,1
612,Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2
613,Every Summertime,NIKI,1,2021,8,10
614,Talking To The Moon,Bruno Mars,1,2010,10,4
615,you broke me first,Tate McRae,1,2020,4,17
616,The Nights,Avicii,1,2014,1,1
617,Take My Breath,The Weeknd,1,2021,8,6
618,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3
619,Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25
620,Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27
621,Dance Monkey,Tones and I,1,2019,5,10
622,Lucid Dreams,Juice WRLD,1,2017,6,15
623,Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28
624,All of Me,John Legend,1,2013,8,1
625,Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10
626,Arcade,Duncan Laurence,1,2019,3,7
627,Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3
628,Bar,"Tini, L-Gante",2,2021,11,11
629,The Rumbling (TV Size),SiM,1,2022,1,10
630,family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27
631,Mr. Brightside,The Killers,1,2003,9,23
632,Blessed-Cursed,ENHYPEN,1,2022,1,10
633,AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24
634,Streets,Doja Cat,1,2019,11,7
635,Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27
636,Polaroid Love,ENHYPEN,1,2022,1,10
637,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28
638,Permission to Dance,BTS,1,2021,7,9
639,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15
640,RAPSTAR,Polo G,1,2021,4,9
641,'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26
642,Memories,Maroon 5,1,2019,9,20
643,Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12
644,25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7
645,When Iï¿½ï¿½ï¿½m Gone (with Katy ,"Katy Perry, Alesso",2,2021,12,29
646,Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14
647,Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29
648,Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18
649,MAMIII,"Karol G, Becky G",2,2022,2,10
650,Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1
651,Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11
652,Boyfriend,Dove Cameron,1,2022,2,11
653,The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran, Taylor Swift",2,2022,2,11
654,The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1
655,Light Switch,Charlie Puth,1,2022,1,19
656,City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11
657,Brividi,"Mahmood, Blanco",2,2022,2,2
658,Lost,Frank Ocean,1,2012,1,1
659,In Da Club,50 Cent,1,2002,1,1
660,she's all i wanna be,Tate McRae,1,2022,2,4
661,Ginseng Strip 2002,Yung Lean,1,2013,8,16
662,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4
663,Notion,The Rare Occasions,1,2016,8,5
664,Formula,Labrinth,1,2019,10,4
665,Mount Everest,Labrinth,1,2019,6,21
666,Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24
667,Cigarettes,Juice WRLD,1,2021,12,10
668,"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14
669,California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28
670,Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1
671,Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19
672,Mujeriego,Ryan Castro,1,2021,12,17
673,HUMBLE.,Kendrick Lamar,1,2017,3,30
674,Stan,"Eminem, Dido",2,1999,11,21
675,Contection,"GODZZ__-, Zakaria",2,2020,1,16
676,Swim,Chase Atlantic,1,2017,10,4
677,A Tu Merced,Bad Bunny,1,2020,2,29
678,Numb Little Bug,Em Beihold,1,2022,1,28
679,212,"Mainstreet, Chefin",2,2022,1,15
680,Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22
681,Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11
682,Worst Day,Future,1,2022,2,11
683,Malvada,Zï¿½ï¿½ Fe,1,2022,1,28
684,Hrs and Hrs,Muni Long,1,2021,11,19
685,Alien Blues,Vundabar,1,2015,7,24
686,Thinking Out Loud,Ed Sheeran,1,2014,1,1
687,Still Don't Know My Name,Labrinth,1,2019,10,4
688,Christmas Tree,V,1,2021,12,24
689,Mal Feito - Ao Vivo,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Hugo & G",2,2022,1,14
690,When I R.I.P.,Labrinth,1,2019,10,4
691,Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4
692,Forever,Labrinth,1,2019,10,4
693,Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4
694,Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19
695,NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16
696,Adore You,Harry Styles,1,2019,12,6
697,La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29
698,Something In The Way - Remastered 2021,Nirvana,1,1991,9,24
699,Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11
700,Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4
701,Una Noche en Medellï¿½,Cris Mj,1,2022,1,21
702,Envolver,Anitta,1,2021,11,11
703,Starlight,Dave,1,2022,3,3
704,Hati-Hati di Jalan,Tulus,1,2022,3,3
705,"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,1,2022,2,4
706,DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1
707,Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4
708,"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3
709,Jordan,Ryan Castro,1,2021,4,30
710,Nail Tech,Jack Harlow,1,2022,2,18
711,Chale,Eden Muï¿½ï,1,2022,2,18
712,DARARI,Treasure,1,2022,2,15
713,Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18
714,Thinking with My Dick,"Kevin Gates, Juicy J",2,2013,7,16
715,Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25
716,this is what falling in love feels like,JVKE,1,2021,9,3
717,La Zona,Bad Bunny,1,2020,2,29
718,Bohemian Rhapsody - Remastered 2011,Queen,1,1975,10,31
719,Hope,XXXTENTACION,1,2018,3,16
720,Levitating,Dua Lipa,1,2020,3,27
721,Wake Me Up - Radio Edit,Avicii,1,2013,1,1
722,"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21
723,Monï¿½ï¿½y so,YEAT,1,2021,9,10
724,Demasiadas Mujeres,C. Tangana,1,2020,10,8
725,Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22
726,Closer,"The Chainsmokers, Halsey",2,2016,5,31
727,O.O,NMIXX,1,2022,2,22
728,Somebody That I Used To Know,"Gotye, Kimbra",2,2011,1,1
729,Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28
730,First Class,Jack Harlow,1,2022,4,8
731,Plan A,Paulo Londra,1,2022,3,23
732,Fuera del mercado,Danny Ocean,1,2022,2,17
733,X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25
734,When You're Gone,Shawn Mendes,1,2022,3,31
735,In My Head,Lil Tjay,1,2022,4,1
736,Wait a Minute!,Willow,1,2015,1,11
737,LOVE DIVE,IVE,1,2022,4,5
738,Pantysito,"Feid, Alejo, Robi",3,2022,3,18
739,Chance,Paulo Londra,1,2022,4,6
740,Cool for the Summer,Demi Lovato,1,2015,1,1
741,psychofreak (feat. WILLOW),"Camila Cabello, Willow",2,2022,4,7
742,Angel Baby,Troye Sivan,1,2021,9,9
743,Vampiro,"Matuï¿½ï¿½, Wiu, ",3,2022,1,30
744,Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022,3,31
745,Right On,Lil Baby,1,2022,4,8
746,Me Arrepentï¿,"Ak4:20, Cris Mj, Pailita",3,2022,3,30
747,That's Hilarious,Charlie Puth,1,2022,4,8
748,Soy El Unico,Yahritza Y Su Esencia,1,2022,3,25
749,RUMBATï¿½,Daddy Yankee,1,2022,3,25
750,sentaDONA (Remix) s2,"Luï¿½ï¿½sa Sonza, MC Frog, Dj Gabriel do Borel, Davi K",4,2022,3,17
751,Falling,Harry Styles,1,2019,12,13
752,Sigue,"Ed Sheeran, J Balvin",2,1996,11,24
753,Fim de Semana no Rio,teto,1,2022,3,30
754,MANIAC,Stray Kids,1,2022,3,18
755,There's Nothing Holdin' Me Back,Shawn Mendes,1,2016,9,23
756,IDGAF (with blackbear),"Blackbear, BoyWithUke",2,2022,3,18
757,Golden,Harry Styles,1,2019,12,13
758,Get Lucky - Radio Edit,"Pharrell Williams, Nile Rodgers, Daft Punk",3,2013,1,1
759,Ain't Shit,Doja Cat,1,2021,6,25
760,"Nobody Like U - From ""Turning Red""","Jordan Fisher, Josh Levi, Finneas O'Connell, 4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red), Topher Ngo, Grayson Vill",6,2022,2,25
761,Still Life,BIGBANG,1,2022,4,5
762,Photograph,Ed Sheeran,1,2014,6,20
763,Love Yourself,Justin Bieber,1,2015,11,9
764,N95,Kendrick Lamar,1,2022,5,13
765,About Damn Time,Lizzo,1,2022,4,14
766,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",3,2022,5,13
767,Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6
768,Un Ratito,Bad Bunny,1,2022,5,6
769,United In Grief,Kendrick Lamar,1,2022,5,13
770,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13
771,Yo No Soy Celoso,Bad Bunny,1,2022,5,6
772,Rich Spirit,Kendrick Lamar,1,2022,5,13
773,Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2,2022,5,12
774,Me Fui de Vacaciones,Bad Bunny,1,2022,5,6
775,Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13
776,La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6
777,Count Me Out,Kendrick Lamar,1,2022,5,13
778,Andrea,"Buscabulla, Bad Bunny",2,2022,5,6
779,Dos Mil 16,Bad Bunny,1,2022,5,6
780,We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13
781,Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13
782,Un Coco,Bad Bunny,1,2022,5,6
783,Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6
784,Worldwide Steppers,Kendrick Lamar,1,2022,5,13
785,Aguacero,Bad Bunny,1,2022,5,6
786,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13
787,Un Verano Sin Ti,Bad Bunny,1,2022,5,6
788,ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14
789,Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6
790,El Apagï¿½,Bad Bunny,1,2022,5,6
791,Callaita,"Bad Bunny, Tainy",2,2019,5,31
792,Dua Lipa,Jack Harlow,1,2022,5,6
793,Agosto,Bad Bunny,1,2022,5,6
794,House Of Memories,Panic! At The Disco,1,2016,1,15
795,Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13
796,That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29
797,In The Stars,Benson Boone,1,2022,4,29
798,Rich - Interlude,Kendrick Lamar,1,2022,5,13
799,SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13
800,Stefania (Kalush Orchestra),KALUSH,1,2022,3,10
801,Thousand Miles,The Kid Laroi,1,2022,4,22
802,Crown,Kendrick Lamar,1,2022,5,13
803,Auntie Diaries,Kendrick Lamar,1,2022,5,13
804,PUFFIN ON ZOOTIEZ,Future,1,2022,4,29
805,Mirror,Kendrick Lamar,1,2022,5,13
806,Beautiful Girl,Luciano,1,2022,4,22
807,"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25
808,Savior - Interlude,Kendrick Lamar,1,2022,5,13
809,Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6
810,Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13
811,TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1
812,Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26
813,I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6
814,Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29
815,ZOOM,Jessi,1,2022,4,13
816,SloMo,Chanel,1,2021,12,24
817,FEARLESS,LE SSERAFIM,1,2022,5,2
818,10 Things I Hate About You,Leah Kate,1,2022,3,23
819,SPACE MAN,Sam Ryder,1,2022,2,22
820,With you,"HA SUNG WOON, Jimin",2,2022,4,24
821,Iris,The Goo Goo Dolls,1,1998,3,31
822,The Heart Part 5,Kendrick Lamar,1,2022,5,8
823,San Lucas,Kevin Kaarl,1,2019,11,7
